time,temp,wind_spd,wind_dir,solar,hour,month,target_temp
2016-04-01 15:00:00,55.58,2.6,210.8,268.9,15,4,55.22
2016-04-01 15:15:00,55.76,2.8,208.4,215.1,15,4,55.22
2016-04-01 15:30:00,55.58,2.4,198.0,201.3,15,4,54.68
2016-04-01 15:45:00,55.4,2.3,195.8,198.5,15,4,54.68
2016-04-02 15:00:00,46.04,1.5,159.3,83.7,15,4,47.48
2016-04-02 15:15:00,46.4,1.2,168.1,86.3,15,4,48.02
2016-04-02 15:30:00,46.76,2.1,145.0,312.7,15,4,47.48
2016-04-02 15:45:00,47.66,2.6,145.3,217.3,15,4,46.94
2016-04-03 15:00:00,36.86,6.4,302.8,546.0,15,4,36.86
2016-04-03 15:15:00,37.04,5.3,293.9,629.7,15,4,36.86
2016-04-03 15:30:00,37.04,5.2,289.4,572.1,15,4,36.68
2016-04-03 15:45:00,36.86,5.2,287.2,516.7,15,4,36.5
2016-04-04 15:00:00,35.42,1.4,26.3,44.8,15,4,35.06
2016-04-04 15:15:00,35.42,1.7,33.7,64.6,15,4,34.52
2016-04-04 15:30:00,35.42,1.6,18.6,87.2,15,4,33.98
2016-04-04 15:45:00,35.24,1.6,23.6,61.1,15,4,33.62
2016-04-05 15:00:00,36.5,2.4,333.1,664.3,15,4,36.86
2016-04-05 15:15:00,36.5,3.3,313.2,620.8,15,4,36.5
2016-04-05 15:30:00,36.86,3.7,313.3,573.7,15,4,36.32
2016-04-05 15:45:00,36.5,3.9,305.2,523.1,15,4,36.32
2016-04-06 15:00:00,41.54,3.9,175.0,339.2,15,4,41.0
2016-04-06 15:15:00,41.36,3.9,187.9,313.2,15,4,41.0
2016-04-06 15:30:00,42.44,3.2,169.4,343.1,15,4,41.18
2016-04-06 15:45:00,41.54,2.9,174.0,185.6,15,4,41.54
2016-04-07 15:00:00,54.32,5.2,164.0,103.5,15,4,53.06
2016-04-07 15:15:00,54.5,4.2,169.9,198.3,15,4,52.7
2016-04-07 15:30:00,54.14,4.8,173.1,255.8,15,4,52.16
2016-04-07 15:45:00,53.42,3.4,180.5,182.6,15,4,51.44
2016-04-08 15:00:00,44.6,4.0,285.3,261.7,15,4,44.24
2016-04-08 15:15:00,45.32,3.5,270.8,345.5,15,4,44.42
2016-04-08 15:30:00,44.78,3.8,278.3,170.1,15,4,44.78
2016-04-08 15:45:00,44.6,3.2,282.5,117.4,15,4,43.88
2016-04-09 15:00:00,35.96,1.0,3.4,48.7,15,4,35.78
2016-04-09 15:15:00,35.78,0.8,358.6,56.9,15,4,35.78
2016-04-09 15:30:00,35.6,1.1,335.2,59.6,15,4,35.96
2016-04-09 15:45:00,35.42,1.3,337.2,55.5,15,4,35.96
2016-04-10 15:00:00,44.78,3.0,176.1,649.0,15,4,44.78
2016-04-10 15:15:00,44.6,3.1,199.4,603.1,15,4,44.42
2016-04-10 15:30:00,44.24,3.0,187.3,557.6,15,4,44.42
2016-04-10 15:45:00,44.6,2.9,208.2,506.9,15,4,43.88
2016-04-11 15:00:00,54.86,4.9,199.2,619.1,15,4,54.32
2016-04-11 15:15:00,54.68,4.1,199.2,578.0,15,4,53.78
