iter	RMSE
0	9.299013462
1	5.240059956
2	3.419023827
3	2.679607394
4	2.373986087
5	2.259477474
6	2.181161987
7	2.149664048
8	2.121885623
9	2.103085115
10	2.087261049
11	2.068400308
12	2.053052985
13	2.04311174
14	2.038326415
15	2.029021975
16	2.017118834
17	2.012552098
18	2.001965382
19	1.996132769
20	1.989126829
21	1.985043379
22	1.981898854
23	1.977475593
24	1.973163727
25	1.969693948
26	1.93899871
27	1.929224741
28	1.926167282
29	1.924329384
30	1.891903516
31	1.888252236
32	1.884351713
33	1.87972161
34	1.877232956
35	1.874693496
36	1.87272238
37	1.87000935
38	1.8673468
39	1.863619473
40	1.861022774
41	1.859227844
42	1.857594455
43	1.856195018
44	1.855193762
45	1.839137488
46	1.817064776
47	1.815770706
48	1.814383426
49	1.811972166
50	1.795060528
51	1.793392873
52	1.792123879
53	1.790825785
54	1.777727482
55	1.776128376
56	1.774808446
57	1.774093275
58	1.772698601
59	1.771471398
60	1.770322451
61	1.76971601
62	1.768650238
63	1.767468497
64	1.766059978
65	1.76520133
66	1.76390808
67	1.762923975
68	1.762265368
69	1.761299915
70	1.750464578
71	1.749365466
72	1.748823235
73	1.748310491
74	1.740326288
75	1.73916957
76	1.738458934
77	1.73793504
78	1.73713246
79	1.73565977
80	1.735233681
81	1.734355444
82	1.733629155
83	1.732568468
84	1.73208051
85	1.731064314
86	1.726307973
87	1.725575852
88	1.724923439
89	1.724561296
90	1.723946528
91	1.723484751
92	1.722147231
93	1.72144315
94	1.716550162
95	1.716182899
96	1.715566139
97	1.714741472
98	1.713994647
99	1.713508425
100	1.712900517
101	1.712322607
102	1.709801089
103	1.708810335
104	1.705458775
105	1.704950906
106	1.704698315
107	1.704066896
108	1.703495675
109	1.702948934
110	1.702415754
111	1.701838636
112	1.70153136
113	1.700987605
114	1.700494193
115	1.699933053
116	1.699344675
117	1.698804877
118	1.698381722
119	1.697860149
120	1.697336048
121	1.696893996
122	1.696376611
123	1.694681832
124	1.694414316
125	1.693951936
126	1.693632427
127	1.693207354
128	1.692880466
129	1.692400003
130	1.69197699
131	1.691681796
132	1.691154511
133	1.690715713
134	1.690352742
135	1.689906365
136	1.68889544
137	1.68857792
138	1.688371747
139	1.688088166
140	1.687602714
141	1.687292064
142	1.686885422
143	1.686498187
144	1.686076437
145	1.685765367
146	1.68559413
147	1.685287477
148	1.685034824
149	1.684809363
150	1.684423277
151	1.68314692
152	1.68269294
153	1.68247528
154	1.682257707
155	1.68193577
156	1.681486257
157	1.681079097
158	1.680950576
159	1.680763006
160	1.680443263
161	1.680059936
162	1.679486725
163	1.679135301
164	1.678891765
165	1.678517179
166	1.678206092
167	1.67794887
168	1.677667226
169	1.677161512
170	1.676881208
171	1.676399348
172	1.676116616
173	1.675767938
174	1.67558688
175	1.67521792
176	1.674787121
177	1.674283289
178	1.674066172
179	1.67369165
180	1.67331461
181	1.672835745
182	1.672689004
183	1.672420516
184	1.670751368
185	1.670750212
186	1.670485962
187	1.670288876
188	1.669990483
189	1.669450021
190	1.66887977
191	1.668432073
192	1.668158399
193	1.667893717
194	1.667522473
195	1.667187414
196	1.66674784
197	1.666457958
198	1.666135405
199	1.665783974
