iter	Passed	Remaining
0	146	29122
1	156	15454
2	165	10896
3	176	8627
4	185	7244
5	195	6327
6	205	5672
7	215	5181
8	225	4785
9	236	4486
10	244	4208
11	255	3999
12	265	3816
13	274	3651
14	284	3505
15	294	3388
16	304	3274
17	313	3169
18	324	3091
19	334	3007
20	343	2931
21	353	2858
22	363	2793
23	372	2733
24	382	2678
25	392	2627
26	403	2582
27	412	2535
28	422	2493
29	431	2446
30	441	2406
31	451	2369
32	461	2337
33	471	2304
34	481	2267
35	490	2233
36	499	2200
37	509	2170
38	519	2144
39	529	2118
40	539	2092
41	550	2069
42	559	2044
43	570	2021
44	579	1996
45	588	1971
46	598	1947
47	607	1924
48	618	1904
49	628	1884
50	637	1862
51	647	1843
52	657	1822
53	666	1802
54	676	1783
55	685	1763
56	695	1744
57	705	1726
58	715	1709
59	725	1691
60	734	1673
61	744	1657
62	753	1639
63	763	1623
64	774	1607
65	783	1591
66	794	1576
67	804	1561
68	813	1545
69	824	1530
70	834	1515
71	844	1500
72	854	1485
73	863	1470
74	874	1457
75	884	1443
76	894	1428
77	904	1414
78	914	1400
79	923	1385
80	933	1371
81	943	1358
82	953	1344
83	963	1330
84	972	1316
85	983	1304
86	993	1290
87	1004	1278
88	1014	1265
89	1023	1251
90	1033	1237
91	1042	1223
92	1052	1211
93	1062	1198
94	1072	1185
95	1081	1171
96	1091	1159
97	1101	1146
98	1111	1133
99	1120	1120
100	1130	1108
101	1141	1096
102	1151	1084
103	1161	1072
104	1171	1060
105	1182	1048
106	1191	1035
107	1201	1023
108	1211	1011
109	1221	999
110	1230	987
111	1240	974
112	1250	963
113	1261	951
114	1270	938
115	1279	926
116	1290	915
117	1299	903
118	1309	891
119	1319	879
120	1329	868
121	1339	856
122	1348	844
123	1358	832
124	1368	820
125	1377	809
126	1387	797
127	1396	785
128	1406	774
129	1416	762
130	1425	751
131	1435	739
132	1445	728
133	1454	716
134	1463	704
135	1489	700
136	1499	689
137	1508	677
138	1517	666
139	1527	654
140	1536	642
141	1545	631
142	1555	620
143	1566	609
144	1575	597
145	1585	586
146	1595	575
147	1605	564
148	1615	552
149	1624	541
150	1634	530
151	1643	519
152	1654	508
153	1664	497
154	1674	486
155	1684	475
156	1694	464
157	1704	453
158	1713	441
159	1723	430
160	1733	419
161	1742	408
162	1753	398
163	1763	387
164	1773	376
165	1783	365
166	1793	354
167	1802	343
168	1812	332
169	1822	321
170	1831	310
171	1841	299
172	1850	288
173	1860	277
174	1869	267
175	1879	256
176	1889	245
177	1900	234
178	1909	224
179	1919	213
180	1929	202
181	1939	191
182	1948	181
183	1958	170
184	1967	159
185	1973	148
186	1983	137
187	1993	127
188	2003	116
189	2013	105
190	2023	95
191	2034	84
192	2043	74
193	2054	63
194	2064	52
195	2074	42
196	2085	31
197	2095	21
198	2105	10
199	2115	0
