TmStamp,temp_2,temp_10,speed_10,dir_10,solar
2024-03-30 13:15:00,12.4,11.9,3.3,293.1,838.0
2024-03-30 13:30:00,12.6,12.3,2.8,278.2,807.0
2024-03-30 13:45:00,13.3,12.8,2.4,279.8,812.0
2024-03-30 14:00:00,13.5,13.2,3.2,273.6,776.5
2024-03-30 14:15:00,13.8,13.4,3.1,285.6,699.3
2024-03-30 14:30:00,13.6,13.5,3.1,263.7,580.1
2024-03-30 14:45:00,14.0,13.7,3.6,280.6,616.1
2024-03-30 15:00:00,14.2,14.0,3.4,272.9,532.8
2024-03-30 15:15:00,13.9,13.9,2.9,274.9,374.3
2024-03-30 15:30:00,14.0,14.1,3.3,281.8,403.2
2024-03-30 15:45:00,14.2,14.3,2.8,279.7,329.0
2024-03-30 16:00:00,14.2,14.4,2.6,274.7,265.3
2024-03-30 16:15:00,14.3,14.5,2.4,273.3,225.3
2024-03-30 16:30:00,14.2,14.5,2.0,277.3,178.1
2024-03-30 16:45:00,14.2,14.6,2.1,268.2,135.9
2024-03-30 17:00:00,12.4,12.6,1.1,191.8,108.1
2024-03-30 17:15:00,12.2,12.7,0.6,205.5,96.1
2024-03-30 17:30:00,13.3,14.0,1.1,276.1,72.0
2024-03-30 17:45:00,13.4,14.2,0.8,275.3,41.8
2024-03-30 18:00:00,12.7,14.0,0.8,270.2,22.5
2024-03-30 18:15:00,11.1,13.0,0.3,324.0,3.5
2024-03-30 18:30:00,10.5,12.0,0.2,168.7,-0.9
2024-03-30 18:45:00,10.3,12.1,0.2,252.6,-1.7
2024-03-30 19:00:00,9.8,12.3,0.5,299.8,-1.8
2024-03-30 19:15:00,9.8,11.4,0.0,321.6,-1.7
2024-03-30 19:30:00,9.6,11.3,0.0,350.0,-1.6
2024-03-30 19:45:00,9.6,11.1,0.0,303.7,-1.6
2024-03-30 20:00:00,9.4,11.0,0.0,266.5,-1.6
2024-03-30 20:15:00,9.5,10.8,0.0,233.1,-1.5
2024-03-30 20:30:00,9.4,11.0,0.1,158.4,-1.5
2024-03-30 20:45:00,9.4,10.8,0.4,220.3,-1.4
2024-03-30 21:00:00,9.4,11.3,0.3,238.1,-1.4
2024-03-30 21:15:00,10.8,12.1,1.1,259.6,-1.5
2024-03-30 21:30:00,12.0,12.7,1.4,275.3,-1.5
2024-03-30 21:45:00,11.8,12.4,0.8,275.5,-1.7
2024-03-30 22:00:00,11.2,12.1,0.9,277.5,-1.6
2024-03-30 22:15:00,10.1,11.2,0.4,295.7,-2.3
2024-03-30 22:30:00,9.7,10.9,0.5,255.2,-1.4
2024-03-30 22:45:00,9.1,10.1,0.2,252.4,-2.4
2024-03-30 23:00:00,8.4,9.1,0.6,267.4,-2.0
2024-03-30 23:15:00,8.5,9.0,1.0,261.8,-1.6
2024-03-30 23:30:00,8.5,9.0,1.2,269.0,-1.5
2024-03-30 23:45:00,8.5,8.9,0.8,266.4,-1.4
