time,temp,wind_spd,wind_dir,solar
3/27/2024 0:00,3.3,0.4,33.5,-1
3/27/2024 0:15,3.3,0.9,30,-1
3/27/2024 0:30,3.2,1.1,50.9,-0.9
3/27/2024 0:45,3.2,1.3,66.1,-1
3/27/2024 1:00,3.2,1.5,45.2,-1
3/27/2024 1:15,3.2,1.6,65.6,-0.9
3/27/2024 1:30,3.3,1.5,62.7,-1
3/27/2024 1:45,3.3,1.1,1.1,-1
3/27/2024 2:00,3.3,1.4,314,-1
3/27/2024 2:15,3.4,0.8,349.2,-1.1
3/27/2024 2:30,3.4,0.8,42.2,-1
3/27/2024 2:45,3.4,0.8,327.4,-1.2
3/27/2024 3:00,3.4,0.6,346.1,-1.1
3/27/2024 3:15,3.4,0.5,354.1,-1.1
3/27/2024 3:30,3.4,0.7,350.7,-1
3/27/2024 3:45,3.4,0.7,3.6,-1
3/27/2024 4:00,3.4,0.8,0.9,-0.9
3/27/2024 4:15,3.5,0.7,3,-1
3/27/2024 4:30,3.5,0.8,7.9,-1.1
3/27/2024 4:45,3.5,0.6,342.7,-1.1
3/27/2024 5:00,3.6,0.8,324.2,-1.1
3/27/2024 5:15,3.6,0.7,338.2,-1.1
3/27/2024 5:30,3.6,0.6,328.8,-1
3/27/2024 5:45,3.7,0.6,346.4,0.1
3/27/2024 6:00,3.7,0.9,348.9,3.5
3/27/2024 6:15,3.7,0.9,336.3,11.6
3/27/2024 6:30,3.7,0.9,1.2,24.5
3/27/2024 6:45,3.8,1.1,354.1,41.1
3/27/2024 7:00,3.9,0.8,320.2,41.1
3/27/2024 7:15,3.9,1.2,324.4,46.4
3/27/2024 7:30,4.1,0.9,334.5,65.4
3/27/2024 7:45,4.2,1.2,347.8,115.6
3/27/2024 8:00,4.3,0.9,340.9,107
3/27/2024 8:15,4.5,1.6,312.5,150.3
3/27/2024 8:30,4.5,1,354.6,128.8
3/27/2024 8:45,4.7,1.4,336.4,186.9
3/27/2024 9:00,5.1,1.3,331.8,288.1
3/27/2024 9:15,5.3,1.3,337.3,309.6
3/27/2024 9:30,5.7,1,334.7,346.4
3/27/2024 9:45,6.2,1.5,48.9,455.2
3/27/2024 10:00,6.6,1.1,71.9,372.6
3/27/2024 10:15,7,1.5,330.7,396.8
3/27/2024 10:30,7.6,1.5,310.6,485.6
3/27/2024 10:45,7.8,1.5,322.3,496.7
3/27/2024 11:00,8.2,1.6,308.2,458.9
3/27/2024 11:15,8.3,1.1,19,617.9
3/27/2024 11:30,9.1,1.2,143.8,728.2
3/27/2024 11:45,10,0.9,148.8,811
3/27/2024 12:00,10.6,1.3,94.1,609.2
3/27/2024 12:15,11.4,1.3,122,557.8
3/27/2024 12:30,11.7,0.8,97.1,693.9
3/27/2024 12:45,12.3,1.1,161.1,589.3
3/27/2024 13:00,12.4,1.1,12.8,468.1
3/27/2024 13:15,12.8,0.8,12.2,485.3
3/27/2024 13:30,13.5,0.5,86,539.6
3/27/2024 13:45,13.6,0.9,135.4,409.6
3/27/2024 14:00,13.3,1.7,190.4,454
3/27/2024 14:15,12.7,2.2,162.6,385.1
3/27/2024 14:30,12.3,2.6,141.6,458.7
3/27/2024 14:45,12.1,1.9,183,269.8
3/27/2024 15:00,11.4,1.5,168.8,157
3/27/2024 15:15,10.6,1.8,191.5,96.6
3/27/2024 15:30,10,1.6,182.6,116.9
3/27/2024 15:45,9.4,1.9,219.8,76.6
3/27/2024 16:00,8.8,1.7,237.2,42.5
3/27/2024 16:15,8.7,1.9,230.3,47.9
3/27/2024 16:30,8.9,0.7,230.8,45.5
3/27/2024 16:45,9.1,1,227.7,52.5
3/27/2024 17:00,9.2,0.9,224.3,40.7
3/27/2024 17:15,9.2,0.4,336.3,39.8
3/27/2024 17:30,9.3,0.2,108.5,33
3/27/2024 17:45,9.3,0.3,162.9,12.2
3/27/2024 18:00,9.3,1.1,135.8,3.1
3/27/2024 18:15,9.2,1.8,130.9,-0.2
3/27/2024 18:30,9,1.8,121.7,-1
3/27/2024 18:45,8.6,1.4,97.4,-1.6
3/27/2024 19:00,8.3,1.3,122.9,-1.5
3/27/2024 19:15,8.2,0.9,147.7,-1.5
3/27/2024 19:30,7.9,0.6,229.2,-1.5
3/27/2024 19:45,7.6,1,300.4,-1.4
3/27/2024 20:00,7.5,0.7,320.7,-1.4
3/27/2024 20:15,7.6,0.5,150.7,-1.3
3/27/2024 20:30,7.6,0.6,145.9,-1.1
3/27/2024 20:45,7.7,0.3,221.2,-1
3/27/2024 21:00,7.6,0.1,223.3,-1
3/27/2024 21:15,7.6,0.3,279,-1
3/27/2024 21:30,7.5,0.3,168,-1.1
3/27/2024 21:45,7.1,0.4,280,-1.1
3/27/2024 22:00,7.1,0.4,352.1,-1.1
3/27/2024 22:15,7.1,0.1,261.8,-1
3/27/2024 22:30,7.2,0.3,89.2,-1
3/27/2024 22:45,7.2,0.3,193.2,-1
3/27/2024 23:00,7.3,0.4,336.1,-0.9
3/27/2024 23:15,7.4,0.2,271.5,-0.9
3/27/2024 23:30,7.4,0.7,310.2,-0.9
3/27/2024 23:45,7.5,0.2,109.9,-0.9
