time,temp,wind_spd,wind_dir,solar,hour,month
2024-03-27 00:00:00,37.94,0.4,33.5,-1.0,0,3
2024-03-27 01:00:00,37.76,1.5,45.2,-1.0,1,3
2024-03-27 02:00:00,37.94,1.4,314.0,-1.0,2,3
2024-03-27 03:00:00,38.12,0.6,346.1,-1.1,3,3
2024-03-27 04:00:00,38.12,0.8,0.9,-0.9,4,3
2024-03-27 05:00:00,38.48,0.8,324.2,-1.1,5,3
2024-03-27 06:00:00,38.66,0.9,348.9,3.5,6,3
2024-03-27 07:00:00,39.02,0.8,320.2,41.1,7,3
2024-03-27 08:00:00,39.74,0.9,340.9,107.0,8,3
2024-03-27 09:00:00,41.18,1.3,331.8,288.1,9,3
2024-03-27 10:00:00,43.88,1.1,71.9,372.6,10,3
2024-03-27 11:00:00,46.76,1.6,308.2,458.9,11,3
2024-03-27 12:00:00,51.08,1.3,94.1,609.2,12,3
2024-03-27 13:00:00,54.32,1.1,12.8,468.1,13,3
2024-03-27 14:00:00,55.94,1.7,190.4,454.0,14,3
2024-03-27 15:00:00,52.52,1.5,168.8,157.0,15,3
2024-03-27 16:00:00,47.84,1.7,237.2,42.5,16,3
2024-03-27 17:00:00,48.56,0.9,224.3,40.7,17,3
2024-03-27 18:00:00,48.74,1.1,135.8,3.1,18,3
2024-03-27 19:00:00,46.94,1.3,122.9,-1.5,19,3
2024-03-27 20:00:00,45.5,0.7,320.7,-1.4,20,3
2024-03-27 21:00:00,45.68,0.1,223.3,-1.0,21,3
2024-03-27 22:00:00,44.78,0.4,352.1,-1.1,22,3
2024-03-27 23:00:00,45.14,0.4,336.1,-0.9,23,3
